24838,40562,41093,32738,26230,32161,2503,2853,1896,
24593,40561,41107,32505,28245,27745,2537,2628,2356,
24571,40577,41123,32228,33050,26095,2567,2078,2521,
24662,40544,41083,32046,37616,28376,2574,1598,2280,
24632,40550,41099,32134,39229,33285,2552,1452,1814,
24831,40575,41101,28118,36838,33144,2900,1915,1847,
25080,40568,41084,28074,35760,29885,2917,1959,1999,
25033,40597,41105,28170,32730,28371,2920,2116,2085,
25042,40594,41109,28362,29541,29472,2908,2315,2031,
25014,40572,41086,28492,28159,32409,2888,2394,1861,
24826,40577,41104,26666,32490,32686,2859,1800,1859,
24576,40583,41125,26650,32498,32770,2854,1891,1637,
24515,40588,41136,26672,32452,32917,2848,2134,1530,
24549,40565,41116,26673,32290,32883,2843,2412,1629,
24579,40565,41117,26686,32203,32782,2840,2515,1896,
24825,40578,41096,28837,27848,32339,2354,2920,1930,
24974,40609,41124,28910,29165,35826,2336,2691,1380,
24921,40604,41127,28804,32484,37330,2345,2117,1177,
25074,40610,41129,28631,35846,36082,2370,1588,1393,
25090,40608,41121,28475,37302,32828,2390,1376,1871,
24805,40606,41142,32402,39370,32808,1859,1361,1898,
24545,40593,41146,32618,37415,37312,1831,1565,1427,
24484,40591,41140,32880,32704,39035,1795,2084,1208,
24538,40579,41128,33022,28062,36980,1773,2647,1399,
24470,40586,41138,32986,26209,32182,1779,2884,1929,
24799,40608,41121,38154,28467,32089,1323,2368,1915,
25092,40597,41108,38173,29758,35494,1319,2263,1722,
25034,40618,41134,38071,33021,37010,1330,2057,1665,
25034,40613,41126,37876,36391,35784,1346,1877,1753,
25041,40630,41140,37736,37784,32617,1361,1812,1924,
24797,40604,41130,39873,33115,32319,1351,2434,1936,
24588,40596,41137,39872,33163,32227,1361,2316,2164,
24606,40614,41156,39871,33314,32217,1380,2034,2239,
24609,40601,41141,39856,33433,32305,1393,1801,2107,
24578,40599,41141,39853,33493,32484,1397,1739,1869,
24802,40600,41128,37629,37863,32936,1857,1363,1832,
25152,40624,41131,37570,36698,29418,1870,1515,2334,
25066,40626,41137,37675,33361,27697,1854,2037,2602,
25069,40587,41104,37843,29841,28884,1823,2636,2427,
25091,40573,41088,37999,28311,32151,1797,2884,1921,
24822,40577,41103,33394,26229,32208,2423,2885,1890,
24560,40567,41117,33081,28223,27734,2464,2654,2374,
24497,40613,41162,32826,33056,26062,2497,2083,2553,
24554,40600,41145,32667,37680,28324,2503,1578,2310,
24614,40589,41134,32720,39375,33324,2485,1416,1817,
