%time,field.data
1439944283520540952,   -1     8  1039   383  -235   -73   -62    54  -635

1439944283560301065,    2     8  1036   398  -238   -76   -63    52  -639

1439944283600537061,    4     9  1043   386  -231   -62   -66    47  -640

1439944283640527009,    4    13  1043   400  -232   -73   -67    44  -640

1439944283681380987,    3     9  1043   393  -228   -80   -68    44  -642

1439944283720550060,    3     9  1042   387  -235   -74   -66    52  -632

1439944283760482072,    1     8  1043   374  -223   -72   -64    52  -632

1439944283800412893,    2     9  1041   395  -238   -79   -65    53  -630

1439944283840481042,    2    10  1041   388  -221   -74   -64    54  -631

1439944283880614042,    1     8  1040   389  -234   -69   -64    54  -629

1439944283921016931,    5     8  1040   384  -245   -83   -64    55  -628

1439944283961750030,    0     7  1041   394  -232   -73   -64    56  -627

1439944284000524044,    4     9  1042   385  -225   -60   -63    59  -626

1439944284040786981,    5     9  1043   390  -227   -67   -62    60  -624

1439944284080581903,    2    11  1045   393  -237   -67   -61    61  -622

1439944284120400905,    4     9  1043   384  -228   -74   -60    64  -620

1439944284160276889,    2    11  1042   390  -237   -76   -59    66  -618

1439944284200356006,    2     9  1042   396  -238   -71   -58    68  -619

1439944284240530967,    4    10  1042   399  -227   -73   -57    67  -620

1439944284281620979,   -2     8  1039   387  -232   -73   -57    66  -621

1439944284321865081,    3    10  1041   391  -242   -77   -57    65  -624

1439944284361689090,    4     9  1042   391  -226   -81   -58    64  -625

1439944284402127027,    2     8  1040   392  -230   -75   -58    60  -628

1439944284441677093,    6     9  1039   393  -230   -67   -59    57  -632

1439944284481684923,    3    11  1042   400  -242   -77   -61    54  -636

1439944284522001981,    3     9  1040   388  -232   -73   -63    50  -639

1439944284561314105,    0     9  1039   409  -236   -72   -65    47  -640

1439944284601897001,    2     8  1040   400  -230   -72   -67    44  -642

1439944284641437053,    2     6  1047   398  -229   -74   -67    51  -632

1439944284681412935,   -1     7  1041   377  -244   -81   -66    52  -633

1439944284721587896,    3     8  1043   397  -224   -72   -64    52  -631

1439944284761801958,    4     8  1042   399  -233   -78   -66    52  -631

1439944284802004098,    0    10  1043   396  -231   -73   -64    52  -630

1439944284841638088,    3     7  1042   390  -241   -73   -63    56  -628

1439944284881673097,    3     9  1043   381  -235   -77   -64    56  -629

1439944284921996116,    2     8  1043   394  -245   -76   -64    57  -625

1439944284961239099,    5     8  1041   400  -229   -63   -63    59  -626

1439944285001687049,    4     9  1037   393  -231   -72   -61    61  -622

1439944285041173934,    3     9  1041   381  -228   -70   -60    63  -621

1439944285081485033,    3    10  1042   400  -223   -77   -61    65  -619

1439944285121754884,    2    11  1045   397  -231   -74   -59    67  -619

1439944285161777019,    5     9  1041   398  -235   -71   -57    67  -620

1439944285201445102,    2    10  1044   397  -235   -71   -57    67  -622

1439944285241499900,    4    10  1042   406  -222   -76   -57    65  -622

1439944285281544923,    3    10  1046   397  -222   -69   -58    65  -624

1439944285322307109,    5     8  1041   397  -224   -67   -59    62  -627

1439944285361426115,    5     8  1042   397  -227   -73   -60    60  -630

1439944285401223897,    2     8  1041   397  -230   -66   -61    56  -634

1439944285441622972,   -1     7  1043   398  -229   -75   -62    52  -637

1439944285481625080,    1     8  1038   402  -232   -69   -64    49  -638

1439944285521718025,    1     8  1041   398  -240   -80   -66    47  -641

1439944285561501026,    1     8  1042   397  -235   -73   -68    49  -632

1439944285602408885,    1     9  1042   392  -231   -71   -66    51  -632

1439944285641736984,    2     9  1048   385  -227   -69   -66    52  -633

1439944285681485891,    2     7  1044   400  -228   -72   -65    53  -632

1439944285721580028,    1     8  1040   395  -230   -64   -64    53  -630

1439944285761513948,    1     9  1045   388  -235   -65   -64    54  -630

1439944285801386117,    4     8  1041   388  -235   -68   -64    54  -630

1439944285841443061,    2    10  1043   391  -242   -79   -64    57  -628

1439944285881304025,    1     9  1042   381  -235   -74   -62    56  -626

1439944285920511960,    4    10  1044   390  -229   -76   -62    58  -624

1439944285960311889,    3    10  1039   399  -224   -72   -61    60  -623

1439944286000421047,    4     8  1042   396  -225   -70   -60    63  -620

1439944286040411949,    4     9  1043   388  -228   -70   -60    66  -618

1439944286081448078,    3     9  1043   386  -230   -68   -58    66  -619

1439944286122859954,    5     8  1046   403  -228   -77   -57    67  -620

1439944286162003993,   -3     9  1039   396  -223   -68   -57    65  -622

1439944286201308012,   -2     7  1042   397  -241   -70   -57    64  -621

1439944286241486072,    5     7  1037   393  -221   -72   -57    63  -625

1439944286281949996,    3     9  1040   402  -228   -74   -58    62  -628

1439944286321522951,    3     8  1041   390  -229   -80   -60    59  -632

1439944286361598968,    4     8  1044   403  -229   -68   -61    55  -635

1439944286401351928,    4     8  1043   398  -221   -70   -63    51  -637

1439944286441418886,    3     8  1039   407  -232   -72   -65    47  -639

1439944286481719017,    3     7  1039   386  -223   -65   -68    49  -634

1439944286521403074,    3     8  1040   395  -231   -73   -67    50  -634

1439944286561301946,    2    10  1041   399  -225   -77   -66    52  -632

1439944286601759910,    3    10  1043   394  -239   -70   -65    52  -631

1439944286641196012,   -1     7  1042   395  -222   -78   -65    53  -630

1439944286681374073,    5     7  1042   386  -221   -72   -64    53  -631

1439944286721441984,    2     7  1043   393  -243   -72   -64    54  -629

1439944286761401891,    2     9  1042   377  -236   -73   -64    55  -628

1439944286801537990,    3     8  1044   391  -237   -71   -63    56  -627

1439944286841496944,    4     8  1041   388  -234   -71   -63    57  -625

1439944286880954980,    1    10  1038   371  -231   -68   -63    59  -624

1439944286921340942,    4    10  1041   393  -232   -77   -61    62  -620

1439944286961476087,    4    10  1044   386  -242   -76   -60    64  -620

1439944287001492977,    2    10  1048   377  -243   -73   -59    67  -619

1439944287040496110,    4     9  1043   387  -236   -71   -57    67  -620

1439944287080671072,    3     9  1041   390  -230   -72   -57    66  -620

1439944287120611906,    5     8  1041   388  -234   -67   -57    65  -623

1439944287160446882,    3     8  1045   394  -230   -67   -58    64  -623

1439944287201312065,    2     8  1040   397  -220   -64   -58    62  -626

1439944287240912914,    0     8  1043   415  -236   -68   -59    61  -630

1439944287280998945,    2    10  1040   391  -231   -71   -60    56  -634

1439944287320926904,    3     8  1041   372  -233   -71   -61    52  -636

1439944287361448049,    2     8  1042   383  -230   -71   -64    50  -638

1439944287401417970,    2    10  1042   386  -222   -72   -69    47  -635

1439944287441560029,    0     8  1040   390  -237   -72   -69    49  -634

1439944287481528043,    4     9  1042   397  -233   -74   -66    51  -633

1439944287521543979,    3     9  1045   397  -220   -74   -65    52  -632

1439944287561544895,    1    10  1044   384  -227   -72   -65    53  -631

1439944287601808071,    4    11  1041   397  -224   -65   -65    53  -631

1439944287641395092,    3     8  1044   397  -228   -66   -64    53  -629

1439944287681253910,    6    10  1038   378  -232   -74   -64    54  -628

1439944287720568895,    3    10  1040   395  -229   -66   -63    55  -626

1439944287760531902,    0     6  1039   394  -246   -76   -64    58  -626

1439944287800344944,    4     8  1045   387  -234   -72   -63    59  -623

1439944287840486049,    3    12  1043   396  -224   -77   -62    61  -622

1439944287881203889,    2    10  1041   392  -231   -74   -61    62  -620

