%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1443623924812564923,405944,1443623924812564923,world,-0.300974190235,-0.0202491637319,0.854454576969,0.000660954159684,0.00182178860996,-0.000314815988531,0.999998092651
1443623924822510088,405945,1443623924822510088,world,-0.300821065903,-0.0202646479011,0.854517102242,0.000611556635704,0.0012777436059,0.000850482028909,0.999998629093
1443623924832669022,405946,1443623924832669022,world,-0.300977677107,-0.0203697085381,0.854459285736,0.000309451570502,-0.00071736308746,4.64200857095e-05,0.999999761581
1443623924842658095,405947,1443623924842658095,world,-0.300897270441,-0.020341033116,0.854701817036,0.00098284019623,0.00256782770157,-0.000691146182362,0.999996066093
1443623924852882822,405948,1443623924852882822,world,-0.300793498755,-0.0202700104564,0.854474008083,-8.31006327644e-05,-0.00182821287308,-0.000530964112841,0.999998211861
1443623924862685928,405949,1443623924862685928,world,-0.301010191441,-0.0203994754702,0.854497492313,0.000192758918274,-0.000148026665556,-0.000720028416254,0.999999761581
1443623924872847875,405950,1443623924872847875,world,-0.300973057747,-0.0202856305987,0.854514598846,0.000114301488793,0.00110295112245,0.000513347913511,0.999999344349
1443623924882586073,405951,1443623924882586073,world,-0.300819009542,-0.0202341750264,0.854582250118,0.000815618957859,0.000126961254864,-0.00156177021563,0.999998509884
1443623924892569317,405952,1443623924892569317,world,-0.300904750824,-0.020257325843,0.854434251785,4.0484861529e-05,-0.000464818032924,-0.000306457019178,0.999999880791
1443623924902895599,405953,1443623924902895599,world,-0.300878703594,-0.020280437544,0.854509413242,0.000122923680465,0.00136352982372,0.000936780357733,0.999998688698
1443623924912655779,405954,1443623924912655779,world,-0.300964355469,-0.0203401632607,0.854481339455,0.000521872250829,0.00216367724352,-6.4689120336e-05,0.99999755621
1443623924922716189,405955,1443623924922716189,world,-0.300892442465,-0.0203858800232,0.854484021664,0.000148660241393,-0.000749560305849,-0.000100091609056,0.999999701977
1443623924932722859,405956,1443623924932722859,world,-0.300882935524,-0.0203750543296,0.854467451572,2.44016264332e-05,-0.000182623363798,0.000463867763756,0.999999940395
1443623924942637025,405957,1443623924942637025,world,-0.300955355167,-0.0202531851828,0.854508817196,0.000361725920811,0.000258771993686,-5.81781241635e-05,1.0
1443623924952662115,405958,1443623924952662115,world,-0.300779879093,-0.0203033201396,0.854523837566,0.000311899115331,-0.000840327295009,-0.000523733382579,0.999999523163
1443623924962852902,405959,1443623924962852902,world,-0.300921410322,-0.0203373096883,0.854462206364,-3.14912504109e-05,0.000247616204433,-3.3223968785e-05,1.0
1443623924972592042,405960,1443623924972592042,world,-0.300845324993,-0.0203846283257,0.854525148869,0.000338228477631,0.000503002316691,-0.000543936097529,0.999999761581
1443623924982735161,405961,1443623924982735161,world,-0.300920397043,-0.0203119777143,0.854524672031,0.000102055098978,-0.000615810684394,9.51898837229e-05,0.999999821186
1443623924992770223,405962,1443623924992770223,world,-0.300756663084,-0.0203158501536,0.854470849037,-0.000449257175205,-0.00250904890709,-0.000817974796519,0.999996423721
1443623925002690914,405963,1443623925002690914,world,-0.300956398249,-0.0205832961947,0.854436695576,0.000360774516594,0.000214870859054,-0.000642949831672,0.999999701977
1443623925012592566,405964,1443623925012592566,world,-0.300811827183,-0.020269908011,0.854525387287,0.000415542919654,-0.000959267199505,-0.000443042226834,0.999999403954
1443623925022721414,405965,1443623925022721414,world,-0.300723642111,-0.0202275682241,0.854467988014,0.000142500866787,-0.00158019852825,-0.000714701483957,0.999998569489
1443623925032841526,405966,1443623925032841526,world,-0.300805330276,-0.0203162059188,0.854499280453,7.79239198891e-05,-0.000980173470452,-0.000714578607585,0.999999284744
1443623925042670005,405967,1443623925042670005,world,-0.300639569759,-0.0200991574675,0.854706346989,0.00100206199568,-0.00536403059959,-0.00141465489287,0.999984204769
1443623925052716523,405968,1443623925052716523,world,-0.300905764103,-0.0203267484903,0.854516088963,8.56164042489e-05,0.000143727156683,-0.00110466929618,0.999999403954
1443623925062583959,405969,1443623925062583959,world,-0.300847411156,-0.0202801767737,0.854563057423,0.00047954544425,0.000419137155404,-0.000431045831647,0.999999701977
1443623925072529889,405970,1443623925072529889,world,-0.300792396069,-0.0201938729733,0.854481637478,0.000374563824153,-0.00115872127935,-0.000434835150372,0.999999165535
1443623925082810480,405971,1443623925082810480,world,-0.300871342421,-0.0202191341668,0.854479432106,1.65326873685e-05,-0.000644305197056,-0.000262768939137,0.999999821186
1443623925092562074,405972,1443623925092562074,world,-0.300502002239,-0.0200816672295,0.85464155674,0.000215652631596,-0.00723712751642,-0.00226080860011,0.999971270561
1443623925102599361,405973,1443623925102599361,world,-0.300974726677,-0.0201050210744,0.854511320591,0.000585435540415,0.00125954905525,-0.000267815194093,0.999999046326
1443623925112583590,405974,1443623925112583590,world,-0.300768464804,-0.02028112486,0.854503214359,2.15040181502e-05,-0.00143537740223,-0.00105292082299,0.999998450279
1443623925122599207,405975,1443623925122599207,world,-0.300902813673,-0.0202307086438,0.854448735714,0.000381774181733,-9.24261767068e-05,-0.000232794845942,1.0
1443623925132570164,405976,1443623925132570164,world,-0.300893068314,-0.0203245934099,0.854481637478,5.80132145842e-05,0.000488600111566,-0.000310280098347,0.999999880791
1443623925142824902,405977,1443623925142824902,world,-0.300725132227,-0.0201358683407,0.854507803917,0.000564433285035,-0.00073142797919,-0.000923539046198,0.999999165535
