%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1443622415085260121,254971,1443622415085260121,world,-0.231458887458,-0.0718600153923,0.852902770042,-0.00245698168874,-0.000618799531367,0.0103760613129,0.99994301796
1443622415095085596,254972,1443622415095085596,world,-0.231593295932,-0.0721337199211,0.853319764137,-0.00417570071295,-0.00735385157168,0.0133979441598,0.999874591827
1443622415105175585,254973,1443622415105175585,world,-0.231369301677,-0.0718630477786,0.85303902626,-0.00298951473087,0.000530463643372,0.0130201652646,0.999910652637
1443622415115327844,254974,1443622415115327844,world,-0.231671497226,-0.0718812942505,0.852847218513,-0.00281472294591,-0.000874942285009,0.0104487063363,0.999941170216
1443622415124944060,254975,1443622415124944060,world,-0.231523871422,-0.0717980265617,0.85292494297,-0.0018994823331,-0.000152819033246,0.0106919212267,0.999941051006
1443622415135137379,254976,1443622415135137379,world,-0.231558740139,-0.0719994306564,0.853294730186,-0.00269103888422,-0.00730633782223,0.011120788753,0.999907851219
1443622415145205498,254977,1443622415145205498,world,-0.231950461864,-0.0721341818571,0.853197574615,-0.00339131150395,0.00167140935082,0.00748666049913,0.99996483326
1443622415155042430,254978,1443622415155042430,world,-0.230965778232,-0.0721774399281,0.853865623474,-0.00847108196467,-0.00902463123202,0.0099108973518,0.999874293804
1443622415165400196,254979,1443622415165400196,world,-0.231550335884,-0.0718366280198,0.85296869278,-0.00348146539181,-0.000808261800557,0.0115751232952,0.999926686287
1443622415175052751,254980,1443622415175052751,world,-0.231530487537,-0.0717644840479,0.852977454662,-0.00290652690455,-8.40503416839e-05,0.0110197905451,0.999935150146
1443622415185046256,254981,1443622415185046256,world,-0.231673061848,-0.0717906057835,0.853120625019,-0.00327706872486,0.0022824103944,0.0106762545183,0.999935090542
1443622415194977998,254982,1443622415194977998,world,-0.231536179781,-0.0718955397606,0.852848827839,-0.00226448755711,-0.0009936906863,0.00982773117721,0.999948680401
1443622415205024998,254983,1443622415205024998,world,-0.23193898797,-0.0719406604767,0.853084981441,-0.00303524476476,0.000645734719001,0.00880736019462,0.999956488609
1443622415215185499,254984,1443622415215185499,world,-0.231801465154,-0.0717713013291,0.853663146496,0.00593460118398,9.19564990909e-05,0.0114954598248,0.999916374683
1443622415225105739,254985,1443622415225105739,world,-0.231357514858,-0.0720364823937,0.853249371052,-0.00119796430226,-0.00813402980566,0.0103305149823,0.999912858009
1443622415235129205,254986,1443622415235129205,world,-0.231437399983,-0.0720004886389,0.853098213673,-0.00305186701007,-0.00335301458836,0.0094705177471,0.999944865704
1443622415245118625,254987,1443622415245118625,world,-0.231728643179,-0.071967869997,0.853341400623,-0.00389206968248,-0.00748073169962,0.0111438529566,0.999902427197
1443622415255025663,254988,1443622415255025663,world,-0.231936752796,-0.0711679533124,0.853908777237,-0.00394184887409,-0.00756660662591,0.0151135418564,0.999849498272
1443622415264981128,254989,1443622415264981128,world,-0.231689780951,-0.0717601850629,0.853497684002,-0.00405208626762,-0.00670617818832,0.0117646697909,0.999900102615
1443622415275000691,254990,1443622415275000691,world,-0.231628611684,-0.0721211209893,0.85313975811,-0.0019229965983,-0.0086139831692,0.0112603325397,0.99989771843
1443622415284996300,254991,1443622415284996300,world,-0.231508329511,-0.0718527585268,0.853029370308,-0.00266233203001,0.000680401921272,0.00962101016194,0.999949991703
1443622415295297931,254992,1443622415295297931,world,-0.231906965375,-0.0718779712915,0.853078424931,-0.000486779608764,0.00626071263105,0.0138566968963,0.999884307384
1443622415305214161,254993,1443622415305214161,world,-0.231790006161,-0.0717675387859,0.853615283966,0.00403746636584,0.00037432226236,0.0127051472664,0.999911129475
1443622415315171214,254994,1443622415315171214,world,-0.231802642345,-0.0721811130643,0.853119075298,-0.00327709387057,-0.00305866752751,0.0122319869697,0.99991518259
1443622415324984037,254995,1443622415324984037,world,-0.231568694115,-0.0720381513238,0.852939486504,-0.00253806845285,-0.00021600042237,0.0111939907074,0.999934196472
1443622415335188224,254996,1443622415335188224,world,-0.231678664684,-0.0719534009695,0.852965474129,-0.00348042417318,-0.000580910535064,0.0117362281308,0.999924957752
1443622415345016467,254997,1443622415345016467,world,-0.23162728548,-0.0722145065665,0.853028476238,-0.0026331723202,-0.0087693175301,0.0110260462388,0.999897360802
1443622415355089443,254998,1443622415355089443,world,-0.231542870402,-0.0722620263696,0.853981018066,-0.00910470448434,-0.00965555291623,0.00811057537794,0.99987912178
1443622415365150123,254999,1443622415365150123,world,-0.23184363544,-0.0722687616944,0.853325605392,-0.00337152602151,-0.00748189818114,0.0107121020555,0.999908924103
1443622415374971626,255000,1443622415374971626,world,-0.23183144629,-0.0720586553216,0.853141725063,-0.00210782652721,-0.00891863368452,0.0119738485664,0.999886393547
1443622415384975367,255001,1443622415384975367,world,-0.231638550758,-0.0718980878592,0.853165268898,-0.00215571396984,-0.00807211454958,0.0100367004052,0.999914705753
1443622415395258685,255002,1443622415395258685,world,-0.231829553843,-0.0724155902863,0.853307247162,-0.00344920530915,0.00332944537513,0.00599469803274,0.99997061491
1443622415405183398,255003,1443622415405183398,world,-0.231537863612,-0.0720807686448,0.853143513203,-0.00299714901485,0.00210449215956,0.00807586219162,0.999960780144
1443622415415122494,255004,1443622415415122494,world,-0.23150794208,-0.072242744267,0.853130996227,-0.00209951028228,-0.00875135883689,0.0117666805163,0.999890267849
