%time,field.data
1439976726920842885,    3    10  1036   447  -190   -85   124   -55  -423

1439976726960007905,    5    11  1022   456  -197   -87   124   -54  -424

1439976726999701023,    1     7  1041   461  -194   -70   124   -55  -423

1439976727040132045,    4     5  1024   433  -200   -80   124   -55  -423

1439976727079953908,    5     9  1037   421  -201   -88   124   -54  -425

1439976727120678901,   -3    10  1033   416  -193   -83   124   -55  -424

1439976727160149097,   -3     9  1029   431  -185   -93   125   -54  -425

1439976727198913097,    1     5  1035   433  -199   -83   124   -54  -424

1439976727238812923,    4     8  1029   454  -195   -78   125   -55  -425

1439976727278884887,   -2    11  1034   467  -190   -83   125   -55  -425

1439976727320379972,   -5    13  1040   460  -187   -79   124   -55  -424

1439976727361488103,    0     9  1033   464  -189   -77   125   -54  -426

1439976727399800062,    4     8  1031   447  -192   -84   125   -54  -426

1439976727439795970,    4     6  1033   456  -188   -84   124   -54  -426

1439976727480107069,   -1     7  1031   444  -181   -75   125   -54  -427

1439976727520308971,    5     3  1032   445  -191   -74   125   -55  -426

1439976727560842990,   10     7  1027   431  -195   -82   125   -55  -428

1439976727599992036,    7     8  1030   437  -188   -80   125   -54  -427

1439976727640245914,    7     8  1033   431  -178   -87   125   -53  -428

1439976727679824113,    3     9  1031   439  -189   -77   125   -54  -427

1439976727720324993,    1     8  1033   427  -202   -87   124   -53  -427

1439976727760190963,    1    12  1033   432  -190   -79   124   -54  -427

1439976727798942089,    2     9  1029   433  -193   -78   125   -54  -428

1439976727838855981,    2     9  1038   434  -187   -79   125   -54  -428

1439976727878909111,    0    10  1035   437  -195   -86   125   -54  -427

1439976727919241905,   -3     6  1029   440  -193   -89   125   -54  -428

1439976727959719896,    9    11  1035   450  -180   -84   124   -54  -428

1439976727999576091,    8    10  1028   445  -176   -75   125   -54  -428

1439976728039649009,    2     8  1035   456  -180   -73   125   -54  -428

1439976728079766035,    1    10  1031   444  -184   -71   125   -55  -428

1439976728120625972,    1     7  1031   438  -183   -78   125   -54  -428

1439976728160739898,   -1     5  1032   432  -178   -87   125   -54  -428

1439976728199924945,   -4     7  1033   447  -184   -86   126   -54  -427

1439976728239773035,   -4     8  1039   436  -181   -84   125   -55  -427

1439976728280818939,    0     7  1034   435  -202   -89   125   -54  -429

