%time,field.data
1439976739479959011,  306   168   877  2981   750  3868  -213   -17  -239

1439976739519925117,  420   202   867  3394     0  3526  -213    -7  -238

1439976739560015916,  484   256   831  5011  1122  3530  -216    -3  -237

1439976739600215911,  497   406   847  4015  1939  7108  -214    10  -240

1439976739639691114,  668   292   835  3174  2687 12050  -213    42  -249

1439976739679670095,  724   179   814  4978  3256 13896  -204    83  -259

1439976739720081090,  770   232   774  4748  3790 17409  -184   131  -275

1439976739760127067,  827   237   777  2714  3869 18854  -149   183  -294

1439976739799969911,  818  -113   914  3532  3852 20526  -101   235  -311

1439976739840867042,  950   -15   844  3594  5932 23165   -32   274  -334

1439976739879964113,  437   -49   959  2148  4609 19650    46   296  -349

1439976739919924020,  665  -508   969  3884  3014 19077   108   296  -359

